,metric,industry,value
2022-01-01,Back Wages per Employee,auto repair,1068.5521617293834
2021-01-01,Back Wages per Employee,auto repair,1220.7254377104377
2020-01-01,Back Wages per Employee,auto repair,1178.8116585760517
2019-01-01,Back Wages per Employee,auto repair,860.5181649616368
2018-01-01,Back Wages per Employee,auto repair,1028.5372284180091
2017-01-01,Back Wages per Employee,auto repair,1368.942451923077
2016-01-01,Back Wages per Employee,auto repair,917.2457225806452
2015-01-01,Back Wages per Employee,auto repair,634.6951941647832
2014-01-01,Back Wages per Employee,auto repair,851.1119845075617
2013-01-01,Back Wages per Employee,auto repair,1479.9110140449438
2023-01-01,Back Wages per Employee,child care services,438.49694542877387
2022-01-01,Back Wages per Employee,child care services,458.1151596638656
2021-01-01,Back Wages per Employee,child care services,546.7957846355877
2020-01-01,Back Wages per Employee,child care services,469.63375589066914
2019-01-01,Back Wages per Employee,child care services,422.55908045977014
2018-01-01,Back Wages per Employee,child care services,376.7881395348837
2017-01-01,Back Wages per Employee,child care services,318.0286141164348
2016-01-01,Back Wages per Employee,child care services,416.0699011156186
2015-01-01,Back Wages per Employee,child care services,411.5540981963928
2014-01-01,Back Wages per Employee,child care services,322.63522539573296
2013-01-01,Back Wages per Employee,child care services,387.2265957446809
2023-01-01,Back Wages per Employee,construction,1981.642756910388
2022-01-01,Back Wages per Employee,construction,1921.749009750686
2021-01-01,Back Wages per Employee,construction,1690.0838611124127
2020-01-01,Back Wages per Employee,construction,1394.4449445382204
2019-01-01,Back Wages per Employee,construction,1264.1760743628656
2018-01-01,Back Wages per Employee,construction,1512.1085182444838
2017-01-01,Back Wages per Employee,construction,1861.1967251263522
2016-01-01,Back Wages per Employee,construction,1552.8120646914315
2015-01-01,Back Wages per Employee,construction,1513.9496078994614
2014-01-01,Back Wages per Employee,construction,1737.220426272126
2013-01-01,Back Wages per Employee,construction,1783.7241433419845
2023-01-01,Back Wages per Employee,food services,1144.379792728115
2022-01-01,Back Wages per Employee,food services,1204.671210776264
2021-01-01,Back Wages per Employee,food services,1189.3947820877127
2020-01-01,Back Wages per Employee,food services,977.7596445455669
2019-01-01,Back Wages per Employee,food services,860.8944915557892
2018-01-01,Back Wages per Employee,food services,1043.0707549327324
2017-01-01,Back Wages per Employee,food services,967.8459921556297
2016-01-01,Back Wages per Employee,food services,889.2247053034223
2015-01-01,Back Wages per Employee,food services,812.2914741375613
2014-01-01,Back Wages per Employee,food services,780.6401055899236
2013-01-01,Back Wages per Employee,food services,728.4383153298093
2023-01-01,Back Wages per Employee,guard services,1068.7043415428454
2022-01-01,Back Wages per Employee,guard services,846.9246222318715
2021-01-01,Back Wages per Employee,guard services,1170.2512259030507
2020-01-01,Back Wages per Employee,guard services,1071.4151745116874
2019-01-01,Back Wages per Employee,guard services,539.4675129451127
2018-01-01,Back Wages per Employee,guard services,947.5547573091116
2017-01-01,Back Wages per Employee,guard services,752.2764165477888
2016-01-01,Back Wages per Employee,guard services,412.8639038446357
2015-01-01,Back Wages per Employee,guard services,695.3267892731535
2014-01-01,Back Wages per Employee,guard services,841.1258151285481
2013-01-01,Back Wages per Employee,guard services,1479.3082486263736
2023-01-01,Back Wages per Employee,"hair, nail & skin care services",492.00660714285715
2022-01-01,Back Wages per Employee,"hair, nail & skin care services",1332.830579710145
2021-01-01,Back Wages per Employee,"hair, nail & skin care services",976.6084858044164
2020-01-01,Back Wages per Employee,"hair, nail & skin care services",179.11790919496377
2019-01-01,Back Wages per Employee,"hair, nail & skin care services",1120.330413080895
2018-01-01,Back Wages per Employee,"hair, nail & skin care services",1149.6858944281526
2017-01-01,Back Wages per Employee,"hair, nail & skin care services",1087.808251599147
2016-01-01,Back Wages per Employee,"hair, nail & skin care services",1119.7123705179283
2015-01-01,Back Wages per Employee,"hair, nail & skin care services",4476.970959692899
2014-01-01,Back Wages per Employee,"hair, nail & skin care services",683.7168656716418
2013-01-01,Back Wages per Employee,"hair, nail & skin care services",469.5061598440546
2023-01-01,Back Wages per Employee,health care,1307.0196202219481
2022-01-01,Back Wages per Employee,health care,963.7005433108188
2021-01-01,Back Wages per Employee,health care,1222.8792430693536
2020-01-01,Back Wages per Employee,health care,1187.6426206092829
2019-01-01,Back Wages per Employee,health care,959.3424116274922
2018-01-01,Back Wages per Employee,health care,807.1155187433261
2017-01-01,Back Wages per Employee,health care,852.2241742204178
2016-01-01,Back Wages per Employee,health care,701.1315728675354
2015-01-01,Back Wages per Employee,health care,904.2046932780369
2014-01-01,Back Wages per Employee,health care,847.4023320799233
2013-01-01,Back Wages per Employee,health care,796.1998874908156
2023-01-01,Back Wages per Employee,hotels and motels,766.2532432432432
2022-01-01,Back Wages per Employee,hotels and motels,1536.4118853545394
2021-01-01,Back Wages per Employee,hotels and motels,789.1607002258793
2020-01-01,Back Wages per Employee,hotels and motels,649.8708004212743
2019-01-01,Back Wages per Employee,hotels and motels,574.599909375
2018-01-01,Back Wages per Employee,hotels and motels,382.55715455140836
2017-01-01,Back Wages per Employee,hotels and motels,656.5297169356794
2016-01-01,Back Wages per Employee,hotels and motels,634.4980247508839
2015-01-01,Back Wages per Employee,hotels and motels,540.8753558052434
2014-01-01,Back Wages per Employee,hotels and motels,544.5250916442048
2013-01-01,Back Wages per Employee,hotels and motels,557.5343696857672
2023-01-01,Back Wages per Employee,janitorial services,741.3422029214371
2022-01-01,Back Wages per Employee,janitorial services,2623.3979536679535
2021-01-01,Back Wages per Employee,janitorial services,847.9924117441454
2020-01-01,Back Wages per Employee,janitorial services,1089.6573165489715
2019-01-01,Back Wages per Employee,janitorial services,1419.7596523754346
2018-01-01,Back Wages per Employee,janitorial services,846.7631757466606
2017-01-01,Back Wages per Employee,janitorial services,1044.2295243243243
2016-01-01,Back Wages per Employee,janitorial services,651.2775745209368
2015-01-01,Back Wages per Employee,janitorial services,853.8245694882368
2014-01-01,Back Wages per Employee,janitorial services,881.9060881355932
2013-01-01,Back Wages per Employee,janitorial services,734.0974698133919
2023-01-01,Back Wages per Employee,landscaping services,1617.670216473073
2022-01-01,Back Wages per Employee,landscaping services,1371.4947406266049
2021-01-01,Back Wages per Employee,landscaping services,605.245967650931
2020-01-01,Back Wages per Employee,landscaping services,1245.8361875322
2019-01-01,Back Wages per Employee,landscaping services,1393.0840085498191
2018-01-01,Back Wages per Employee,landscaping services,1135.022797248608
2017-01-01,Back Wages per Employee,landscaping services,1206.7800125838926
2016-01-01,Back Wages per Employee,landscaping services,997.7725637671681
2015-01-01,Back Wages per Employee,landscaping services,744.7557713310581
2014-01-01,Back Wages per Employee,landscaping services,1352.063780532264
2013-01-01,Back Wages per Employee,landscaping services,921.3321761929733
2023-01-01,Back Wages per Employee,logistics,1325.1552343750002
2022-01-01,Back Wages per Employee,logistics,1138.7454048964219
2021-01-01,Back Wages per Employee,logistics,2381.3886274509805
2020-01-01,Back Wages per Employee,logistics,1201.6187012987014
2019-01-01,Back Wages per Employee,logistics,751.7839568345324
2018-01-01,Back Wages per Employee,logistics,1103.7352463768116
2017-01-01,Back Wages per Employee,logistics,1502.0015212527965
2016-01-01,Back Wages per Employee,logistics,556.86755859375
2015-01-01,Back Wages per Employee,logistics,1149.4121739130435
2014-01-01,Back Wages per Employee,logistics,1454.8817567567567
2013-01-01,Back Wages per Employee,logistics,2409.625842696629
2023-01-01,Back Wages per Employee,retail,870.2480690656436
2022-01-01,Back Wages per Employee,retail,1109.161463886819
2021-01-01,Back Wages per Employee,retail,914.2262386317361
2020-01-01,Back Wages per Employee,retail,843.3114245058073
2019-01-01,Back Wages per Employee,retail,775.17147702407
2018-01-01,Back Wages per Employee,retail,865.5704029841979
2017-01-01,Back Wages per Employee,retail,901.0344981132075
2016-01-01,Back Wages per Employee,retail,1005.69876974629
2015-01-01,Back Wages per Employee,retail,867.8582014833128
2014-01-01,Back Wages per Employee,retail,880.1680476874461
2013-01-01,Back Wages per Employee,retail,868.7683594880356
2023-01-01,Back Wages per Employee,temporary help,2065.904631531934
2022-01-01,Back Wages per Employee,temporary help,1211.1563438793612
2021-01-01,Back Wages per Employee,temporary help,532.9148699569937
2020-01-01,Back Wages per Employee,temporary help,645.0844209039549
2019-01-01,Back Wages per Employee,temporary help,739.386797099005
2018-01-01,Back Wages per Employee,temporary help,470.7802587777913
2017-01-01,Back Wages per Employee,temporary help,1049.220001110741
2016-01-01,Back Wages per Employee,temporary help,581.5499937323723
2015-01-01,Back Wages per Employee,temporary help,462.94443918150813
2014-01-01,Back Wages per Employee,temporary help,651.605518389083
2013-01-01,Back Wages per Employee,temporary help,511.1565145754119
2023-01-01,Back Wages per Employee,trucking,497.0215671641792
2022-01-01,Back Wages per Employee,trucking,2411.839843492586
2021-01-01,Back Wages per Employee,trucking,2689.2789787234046
2020-01-01,Back Wages per Employee,trucking,1823.443661971831
2019-01-01,Back Wages per Employee,trucking,772.5162968352128
2018-01-01,Back Wages per Employee,trucking,2873.4660470136723
2017-01-01,Back Wages per Employee,trucking,1746.8166821130676
2016-01-01,Back Wages per Employee,trucking,2167.202237163814
2015-01-01,Back Wages per Employee,trucking,1621.7419103448276
2014-01-01,Back Wages per Employee,trucking,1073.1184538096568
2013-01-01,Back Wages per Employee,trucking,658.337254064856
2023-01-01,Back Wages per Employee,utilities,588.9550684931507
2022-01-01,Back Wages per Employee,utilities,1218.6442
2021-01-01,Back Wages per Employee,utilities,1179.131261682243
2020-01-01,Back Wages per Employee,utilities,1558.4112974051898
2019-01-01,Back Wages per Employee,utilities,2833.316369294606
2018-01-01,Back Wages per Employee,utilities,847.4589885496183
2017-01-01,Back Wages per Employee,utilities,201.8488916876574
2016-01-01,Back Wages per Employee,utilities,1434.8334826325413
2015-01-01,Back Wages per Employee,utilities,1992.4230627871364
2014-01-01,Back Wages per Employee,utilities,773.4376844783716
2013-01-01,Back Wages per Employee,utilities,1073.7562068965517
2023-01-01,Back Wages per Employee,warehousing,1082.7914911660775
2022-01-01,Back Wages per Employee,warehousing,1541.0296226415094
2021-01-01,Back Wages per Employee,warehousing,1428.3960217654171
2020-01-01,Back Wages per Employee,warehousing,857.6704494382022
2019-01-01,Back Wages per Employee,warehousing,1606.0227856868028
2018-01-01,Back Wages per Employee,warehousing,1049.7876377952757
2017-01-01,Back Wages per Employee,warehousing,837.1815517241379
2016-01-01,Back Wages per Employee,warehousing,1625.267193877551
2015-01-01,Back Wages per Employee,warehousing,1406.4879069767442
2014-01-01,Back Wages per Employee,warehousing,1129.412695652174
2013-01-01,Back Wages per Employee,warehousing,1246.3726470588235
